DatasetName,SightingKey,SpeciesCode,KingdomName,ClassName,FamilyName,SortOrder,ScientificName,Exotic,CommonName,NSWStatus,CommStatus,SensitivityClass,ProfileID,DateFirst,DateLast,NumberIndividuals,EstimateTypeCode,SourceCode,ObservationType,Status,ValidationFlags,LocationKey,Description,Latitude_GDA94,Longitude_GDA94,Zone,Easting,Northing,Accuracy,SightingNotes,LocationNotes,Column1
Wildlife Rehab Database,SPJGI5705399,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,25/02/2016 0:00,25/02/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470978,"Broken Hill/Silverton Road, NSW, 2880",-31.9075576,141.3268356,54,530902,6469764,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705400,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,26/02/2016 0:00,26/02/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470978,"Broken Hill/Silverton Road, NSW, 2880",-31.9075576,141.3268356,54,530902,6469764,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705402,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,12/04/2016 0:00,12/04/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470978,"Broken Hill/Silverton Road, NSW, 2880",-31.9075576,141.3268356,54,530902,6469764,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705403,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,24/05/2016 0:00,24/05/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470978,"Broken Hill/Silverton Road, NSW, 2880",-31.9075576,141.3268356,54,530902,6469764,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705410,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,6/10/2015 0:00,6/10/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0468498,"Broken Hill/Menindee road, NSW, 2880",-32.1278643,141.8461062,54,579809,6445078,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705413,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,25/12/2015 0:00,25/12/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0468498,"Broken Hill/Menindee road, NSW, 2880",-32.1278643,141.8461062,54,579809,6445078,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705414,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,19/02/2016 0:00,19/02/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0468498,"Broken Hill/Menindee road, NSW, 2880",-32.1278643,141.8461062,54,579809,6445078,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705431,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,4/07/2015 0:00,4/07/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469700,"Broken Hill Adelaide road, NSW, 2880",-31.983556,141.361493,54,534151,6461330,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5707253,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,16/09/2013 0:00,16/09/2013 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469667,"kanandah Rd, Broken Hill, NSW, 2880",-31.9863646,141.4314746,54,540761,6460994,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5707257,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,9/06/2017 0:00,9/06/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469666,"Kananda Road/Broken Hill, Broken Hill, NSW, 2880",-31.9863646,141.4314746,54,540761,6460994,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5715008,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,1/11/2016 0:00,1/11/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470197,"Adelaide Road, Broken Hill, NSW, 2880",-31.9558583,141.4651361,54,543956,6464363,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5715009,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,23/12/2016 0:00,23/12/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470197,"Adelaide Road, Broken Hill, NSW, 2880",-31.9558583,141.4651361,54,543956,6464363,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5715010,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,10/04/2017 0:00,10/04/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470197,"Adelaide Road, Broken Hill, NSW, 2880",-31.9558583,141.4651361,54,543956,6464363,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
